#LIBRARY    ENDF/B-VII.1
#REACTION   N-14(N,P)C-14,SIG
#NUCLEUS    N-14
#MF         3
#MT         103
#E,eV        Sig,b        Interpolation
 40000       0.0014376    Lin-Lin
 60000       0.0013006    Lin-Lin
 80000       0.0012626    Lin-Lin
 100000      0.0012704    Lin-Lin
 120000      0.0013056    Lin-Lin
 140000      0.0013608    Lin-Lin
 160000      0.0014324    Lin-Lin
 167900      0.0014649    Lin-Lin
 180000      0.0015192    Lin-Lin
 190000      0.0015681    Lin-Lin
 200000      0.0016208    Lin-Lin
 250000      0.0019451    Lin-Lin
 300000      0.0023906    Lin-Lin
 350000      0.0030081    Lin-Lin
 400000      0.0039534    Lin-Lin
 410000      0.0042325    Lin-Lin
 420000      0.0045792    Lin-Lin
 422000      0.0046602    Lin-Lin
 424000      0.0047462    Lin-Lin
 425000      0.0047913    Lin-Lin
 426000      0.0048378    Lin-Lin
 427000      0.0048859    Lin-Lin
 428000      0.0049357    Lin-Lin
 429000      0.0049874    Lin-Lin
 430000      0.0050409    Lin-Lin
 430200      0.0050518    Lin-Lin
 430400      0.0050629    Lin-Lin
 430600      0.005074     Lin-Lin
 430800      0.0050852    Lin-Lin
 431000      0.0050965    Lin-Lin
 431200      0.0051078    Lin-Lin
 431400      0.0051193    Lin-Lin
 431600      0.0051309    Lin-Lin
 431800      0.0051425    Lin-Lin
 432000      0.0051542    Lin-Lin
 432200      0.0051661    Lin-Lin
 432400      0.005178     Lin-Lin
 432600      0.00519      Lin-Lin
 432800      0.0052021    Lin-Lin
 433000      0.0052144    Lin-Lin
 433200      0.0052267    Lin-Lin
 433400      0.0052391    Lin-Lin
 433600      0.0052516    Lin-Lin
 433800      0.0052643    Lin-Lin
 434000      0.005277     Lin-Lin
 434200      0.0052898    Lin-Lin
 434400      0.0053028    Lin-Lin
 434600      0.0053159    Lin-Lin
 434800      0.005329     Lin-Lin
 435000      0.0053423    Lin-Lin
 436000      0.0054106    Lin-Lin
 437000      0.0054819    Lin-Lin
 438000      0.0055567    Lin-Lin
 439000      0.005635     Lin-Lin
 440000      0.0057173    Lin-Lin
 442000      0.0058949    Lin-Lin
 444000      0.0060925    Lin-Lin
 446000      0.0063139    Lin-Lin
 448000      0.0065634    Lin-Lin
 450000      0.0068469    Lin-Lin
 460000      0.0091104    Lin-Lin
 470000      0.015089     Lin-Lin
 480000      0.041532     Lin-Lin
 482000      0.057301     Lin-Lin
 484000      0.084244     Lin-Lin
 486000      0.13334      Lin-Lin
 488000      0.22374      Lin-Lin
 489000      0.28692      Lin-Lin
 490000      0.34923      Lin-Lin
 491000      0.38379      Lin-Lin
 492000      0.369        Lin-Lin
 493000      0.31532      Lin-Lin
 494000      0.25119      Lin-Lin
 496000      0.15163      Lin-Lin
 498000      0.095913     Lin-Lin
 500000      0.065293     Lin-Lin
 510000      0.020229     Lin-Lin
 520000      0.011522     Lin-Lin
 530000      0.0084038    Lin-Lin
 540000      0.0069317    Lin-Lin
 550000      0.0062225    Lin-Lin
 560000      0.0061455    Lin-Lin
 570000      0.006982     Lin-Lin
 580000      0.0095509    Lin-Lin
 590000      0.015763     Lin-Lin
 600000      0.030117     Lin-Lin
 610000      0.063347     Lin-Lin
 620000      0.13659      Lin-Lin
 625000      0.19174      Lin-Lin
 630000      0.24682      Lin-Lin
 635000      0.27922      Lin-Lin
 640000      0.27597      Lin-Lin
 645000      0.24705      Lin-Lin
 650000      0.21003      Lin-Lin
 655000      0.1755       Lin-Lin
 660000      0.1468       Lin-Lin
 680000      0.079785     Lin-Lin
 700000      0.050573     Lin-Lin
 720000      0.035268     Lin-Lin
 740000      0.026151     Lin-Lin
 760000      0.020274     Lin-Lin
 780000      0.016303     Lin-Lin
 800000      0.013552     Lin-Lin
 820000      0.011636     Lin-Lin
 840000      0.010335     Lin-Lin
 860000      0.0095248    Lin-Lin
 880000      0.0091566    Lin-Lin
 900000      0.0092585    Lin-Lin
 910000      0.0095252    Lin-Lin
 920000      0.0099812    Lin-Lin
 930000      0.010689     Lin-Lin
 940000      0.011752     Lin-Lin
 950000      0.013351     Lin-Lin
 960000      0.015796     Lin-Lin
 965000      0.017489     Lin-Lin
 970000      0.019607     Lin-Lin
 975000      0.022228     Lin-Lin
 980000      0.025363     Lin-Lin
 985000      0.028791     Lin-Lin
 990000      0.031775     Lin-Lin
 995000      0.032889     Lin-Lin
 1E+06       0.030753     Lin-Lin
 1.005E+06   0.025649     Lin-Lin
 1.01E+06    0.019585     Lin-Lin
 1.012E+06   0.01733      Lin-Lin
 1.014E+06   0.015278     Lin-Lin
 1.016E+06   0.013454     Lin-Lin
 1.018E+06   0.011861     Lin-Lin
 1.02E+06    0.010488     Lin-Lin
 1.04E+06    0.0044177    Lin-Lin
 1.045E+06   0.0040062    Lin-Lin
 1.05E+06    0.0037755    Lin-Lin
 1.055E+06   0.0036688    Lin-Lin
 1.06E+06    0.0036489    Lin-Lin
 1.065E+06   0.0036913    Lin-Lin
 1.07E+06    0.0037796    Lin-Lin
 1.075E+06   0.0039024    Lin-Lin
 1.08E+06    0.0040523    Lin-Lin
 1.085E+06   0.0042237    Lin-Lin
 1.09E+06    0.004413     Lin-Lin
 1.095E+06   0.0046176    Lin-Lin
 1.1E+06     0.004836     Lin-Lin
 1.105E+06   0.0050698    Lin-Lin
 1.11E+06    0.005329     Lin-Lin
 1.112E+06   0.0054464    Lin-Lin
 1.114E+06   0.0055753    Lin-Lin
 1.116E+06   0.0057148    Lin-Lin
 1.117E+06   0.0057865    Lin-Lin
 1.118E+06   0.0058576    Lin-Lin
 1.119E+06   0.0059269    Lin-Lin
 1.12E+06    0.0059935    Lin-Lin
 1.125E+06   0.0062886    Lin-Lin
 1.13E+06    0.0065667    Lin-Lin
 1.135E+06   0.0068586    Lin-Lin
 1.14E+06    0.0071687    Lin-Lin
 1.145E+06   0.0074968    Lin-Lin
 1.15E+06    0.0078436    Lin-Lin
 1.155E+06   0.0082106    Lin-Lin
 1.16E+06    0.0086014    Lin-Lin
 1.165E+06   0.009022     Lin-Lin
 1.17E+06    0.0094826    Lin-Lin
 1.172E+06   0.0096817    Lin-Lin
 1.174E+06   0.0098918    Lin-Lin
 1.176E+06   0.010115     Lin-Lin
 1.178E+06   0.010355     Lin-Lin
 1.18E+06    0.010617     Lin-Lin
 1.181E+06   0.010759     Lin-Lin
 1.182E+06   0.01091      Lin-Lin
 1.183E+06   0.011076     Lin-Lin
 1.1832E+06  0.011112     Lin-Lin
 1.1834E+06  0.011149     Lin-Lin
 1.1836E+06  0.011187     Lin-Lin
 1.1838E+06  0.011225     Lin-Lin
 1.184E+06   0.011264     Lin-Lin
 1.1842E+06  0.011299     Lin-Lin
 1.1844E+06  0.011327     Lin-Lin
 1.1846E+06  0.011344     Lin-Lin
 1.1848E+06  0.011351     Lin-Lin
 1.185E+06   0.01136      Lin-Lin
 1.1852E+06  0.011378     Lin-Lin
 1.1854E+06  0.011405     Lin-Lin
 1.1856E+06  0.011439     Lin-Lin
 1.1858E+06  0.011475     Lin-Lin
 1.186E+06   0.011514     Lin-Lin
 1.1862E+06  0.011554     Lin-Lin
 1.1864E+06  0.011594     Lin-Lin
 1.1866E+06  0.011635     Lin-Lin
 1.1868E+06  0.011677     Lin-Lin
 1.187E+06   0.011719     Lin-Lin
 1.1872E+06  0.011761     Lin-Lin
 1.1874E+06  0.011804     Lin-Lin
 1.1876E+06  0.011848     Lin-Lin
 1.1878E+06  0.011892     Lin-Lin
 1.188E+06   0.011937     Lin-Lin
 1.189E+06   0.012171     Lin-Lin
 1.19E+06    0.012426     Lin-Lin
 1.192E+06   0.013015     Lin-Lin
